Word,Regex,Swearing,Sexual,Racism,Xenophobic,Sexism,Other
2girls1cup,,0,1,0,0,1,1
2g1c,,0,1,0,0,1,1
4r5e,,1,1,0,0,0,0
5h1t,,1,0,0,0,0,0
5hit,,,,,,,
a2m,,,,,,,
a54,,,,,,,
aeolus,,,,,,,
ahole,,,,,,,
alabamahotpocket,,,,,,,
alaskanpipeline,,,,,,,
anal,,,,,,,
analimpaler,,,,,,,
analleakage,,,,,,,
analannie,,,,,,,
analprobe,,,,,,,
analsex,,,,,,,
anilingus,,,,,,,
anus,,,,,,,
apeshit,,,,,,,
ar5e,,,,,,,
areola,,,,,,,
areole,,,,,,,
arian,,,,,,,
arrse,,,,,,,
arse,,,,,,,
arsehole,,,,,,,
aryan,,,,,,,
ass,,,,,,,
assfuck,,,,,,,
asshole,,,,,,,
assault,,,,,,,
assbag,,,,,,,
assbagger,,,,,,,
assbandit,,,,,,,
assbang,,,,,,,
assbanged,,,,,,,
assbanger,,,,,,,
assbangs,,,,,,,
assbite,,,,,,,
assblaster,,,,,,,
assclown,,,,,,,
asscock,,,,,,,
asscracker,,,,,,,
asses,,,,,,,
assface,,,,,,,
assfaces,,,,,,,
assfuck,,,,,,,
assfucker,,,,,,,
assfucker,,,,,,,
assfukka,,,,,,,
assgoblin,,,,,,,
assh0le,,,,,,,
asshat,,,,,,,
asshat,,,,,,,
asshead,,,,,,,
assho1e,,,,,,,
asshole,,,,,,,
assholes,,,,,,,
asshopper,,,,,,,
asshore,,,,,,,
assjabber,,,,,,,
assjacker,,,,,,,
assjockey,,,,,,,
asskiss,,,,,,,
asskisser,,,,,,,
assklown,,,,,,,
asslick,,,,,,,
asslicker,,,,,,,
asslover,,,,,,,
assman,,,,,,,
assmaster,,,,,,,
assmonkey,,,,,,,
assmucus,,,,,,,
assmunch,,,,,,,
assmuncher,,,,,,,
assnigger,,,,,,,
asspacker,,,,,,,
asspirate,,,,,,,
asspirate,,,,,,,
asspuppies,,,,,,,
assranger,,,,,,,
assshit,,,,,,,
assshole,,,,,,,
asssucker,,,,,,,
asswad,,,,,,,
asswhole,,,,,,,
asswhore,,,,,,,
asswipe,,,,,,,
asswipes,,,,,,,
autoerotic,,,,,,,
axwound,,,,,,,
azz,,,,,,,
b!tch,,,,,,,
b00bs,,,,,,,
b17ch,,,,,,,
b1tch,,,,,,,
babe,,,,,,,
babybatter,,,,,,,
babyjuice,,,,,,,
badfuck,,,,,,,
ballgag,,,,,,,
ballgravy,,,,,,,
ballkicking,,,,,,,
balllicking,,,,,,,
ballsack,,,,,,,
ballsucking,,,,,,,
ballbag,,,,,,,
balllicker,,,,,,,
ballsack,,,,,,,
bampot,,,,,,,
bangbros,,,,,,,
bareback,,,,,,,
barelylegal,,,,,,,
barface,,,,,,,
barfface,,,,,,,
bastard,,,,,,,
bastardo,,,,,,,
bastards,,,,,,,
bastinado,,,,,,,
battyboy,,,,,,,
bawdy,,,,,,,
bazongas,,,,,,,
bazooms,,,,,,,
bbw,,,,,,,
bdsm,,,,,,,
beaner,,,,,,,
beaners,,,,,,,
beardedclam,,,,,,,
beastial,,,,,,,
beastiality,,,,,,,
beatch,,,,,,,
beater,,,,,,,
beatyourmeat,,,,,,,
beaver,,,,,,,
beavercleaver,,,,,,,
beaverlips,,,,,,,
beefcurtain,,,,,,,
beefcurtains,,,,,,,
beer,,,,,,,
beeyotch,,,,,,,
bellend,,,,,,,
bender,,,,,,,
beotch,,,,,,,
bestial,,,,,,,
bestiality,,,,,,,
biatch,,,,,,,
bigblack,,,,,,,
bigbreasts,,,,,,,
bigknockers,,,,,,,
bigtits,,,,,,,
bigbastard,,,,,,,
bigbutt,,,,,,,
bigtits,,,,,,,
bimbo,,,,,,,
bimbos,,,,,,,
bint,,,,,,,
birdlock,,,,,,,
bitch,,,,,,,
bitchtit,,,,,,,
bitchass,,,,,,,
bitched,,,,,,,
bitcher,,,,,,,
bitchers,,,,,,,
bitches,,,,,,,
bitchez,,,,,,,
bitchin,,,,,,,
bitching,,,,,,,
bitchtits,,,,,,,
bitchy,,,,,,,
blackcock,,,,,,,
bloodclaat,,,,,,,
bloody,,,,,,,
bloodyhell,,,,,,,
blowjob,,,,,,,
blowme,,,,,,,
blowmud,,,,,,,
blowyourload,,,,,,,
blowjob,,,,,,,
blowjobs,,,,,,,
bluewaffle,,,,,,,
blumpkin,,,,,,,
boang,,,,,,,
bogan,,,,,,,
bohunk,,,,,,,
boink,,,,,,,
boiolas,,,,,,,
bollick,,,,,,,
bollock,,,,,,,
bollocks,,,,,,,
bollok,,,,,,,
bollox,,,,,,,
bomd,,,,,,,
